id,nombre,precio,calificacion,stock
4668,Producto_4668,11.49,5.0,56
585,Producto_585,12.39,5.0,40
696,Producto_696,12.5,5.0,56
2154,Producto_2154,12.81,5.0,31
2316,Producto_2316,13.07,5.0,88
4008,Producto_4008,13.45,5.0,97
490,Producto_490,13.75,5.0,42
4934,Producto_4934,14.85,5.0,21
3169,Producto_3169,15.16,5.0,76
501,Producto_501,16.21,5.0,26
4123,Producto_4123,16.85,5.0,61
3765,Producto_3765,20.76,5.0,64
1125,Producto_1125,20.82,5.0,19
292,Producto_292,21.05,5.0,68
4588,Producto_4588,21.81,5.0,45
4512,Producto_4512,22.54,5.0,72
1341,Producto_1341,23.38,5.0,19
3889,Producto_3889,23.42,5.0,55
4983,Producto_4983,23.6,5.0,23
2456,Producto_2456,27.84,5.0,98
22,Producto_22,29.17,5.0,26
1895,Producto_1895,29.83,5.0,26
582,Producto_582,30.24,5.0,7
837,Producto_837,30.48,5.0,82
5000,Producto_5000,32.9,5.0,40
2670,Producto_2670,34.06,5.0,46
3322,Producto_3322,34.39,5.0,22
3074,Producto_3074,35.34,5.0,59
4000,Producto_4000,36.65,5.0,57
3226,Producto_3226,39.67,5.0,34
4770,Producto_4770,39.68,5.0,88
2558,Producto_2558,41.71,5.0,9
74,Producto_74,41.98,5.0,45
4936,Producto_4936,42.48,5.0,87
2223,Producto_2223,43.65,5.0,51
711,Producto_711,43.81,5.0,40
4049,Producto_4049,44.08,5.0,8
3134,Producto_3134,44.2,5.0,82
130,Producto_130,46.36,5.0,65
1071,Producto_1071,47.62,5.0,38
1468,Producto_1468,48.02,5.0,29
464,Producto_464,48.02,5.0,42
3436,Producto_3436,49.81,5.0,85
4090,Producto_4090,53.03,5.0,78
77,Producto_77,55.21,5.0,31
2851,Producto_2851,55.67,5.0,69
4586,Producto_4586,55.98,5.0,89
1669,Producto_1669,56.74,5.0,35
1416,Producto_1416,58.73,5.0,67
4231,Producto_4231,59.53,5.0,9
2348,Producto_2348,59.7,5.0,50
1146,Producto_1146,60.41,5.0,62
3958,Producto_3958,62.21,5.0,69
4573,Producto_4573,62.28,5.0,63
3278,Producto_3278,62.66,5.0,86
3543,Producto_3543,64.04,5.0,34
572,Producto_572,64.58,5.0,60
644,Producto_644,64.95,5.0,4
93,Producto_93,68.34,5.0,72
4142,Producto_4142,69.12,5.0,93
1398,Producto_1398,71.59,5.0,76
3733,Producto_3733,71.67,5.0,99
1742,Producto_1742,73.25,5.0,20
2952,Producto_2952,73.26,5.0,30
3231,Producto_3231,74.26,5.0,83
2416,Producto_2416,76.13,5.0,74
2538,Producto_2538,76.78,5.0,17
663,Producto_663,77.34,5.0,76
47,Producto_47,79.8,5.0,27
4660,Producto_4660,80.11,5.0,33
241,Producto_241,81.81,5.0,80
83,Producto_83,82.39,5.0,27
3084,Producto_3084,82.72,5.0,29
3337,Producto_3337,82.76,5.0,97
1688,Producto_1688,85.32,5.0,63
4932,Producto_4932,86.08,5.0,12
812,Producto_812,86.29,5.0,2
2652,Producto_2652,87.45,5.0,38
4611,Producto_4611,89.41,5.0,23
4070,Producto_4070,90.66,5.0,40
510,Producto_510,91.92,5.0,21
2155,Producto_2155,93.16,5.0,26
2157,Producto_2157,93.84,5.0,58
1986,Producto_1986,94.56,5.0,65
491,Producto_491,95.26,5.0,46
698,Producto_698,95.3,5.0,34
2791,Producto_2791,97.59,5.0,8
4938,Producto_4938,100.21,5.0,41
341,Producto_341,100.5,5.0,84
1660,Producto_1660,102.7,5.0,18
3142,Producto_3142,104.03,5.0,11
939,Producto_939,104.84,5.0,60
4689,Producto_4689,108.9,5.0,63
1758,Producto_1758,109.12,5.0,100
2082,Producto_2082,109.98,5.0,84
4726,Producto_4726,110.06,5.0,71
1745,Producto_1745,111.04,5.0,3
160,Producto_160,111.59,5.0,58
3669,Producto_3669,112.01,5.0,19
2142,Producto_2142,113.91,5.0,31
545,Producto_545,117.29,5.0,69
4583,Producto_4583,117.51,5.0,42
299,Producto_299,117.74,5.0,15
1931,Producto_1931,118.02,5.0,40
1036,Producto_1036,119.25,5.0,17
1477,Producto_1477,119.33,5.0,5
3544,Producto_3544,121.53,5.0,4
4678,Producto_4678,122.32,5.0,70
4456,Producto_4456,123.93,5.0,97
